OCTOBER,,,CAPITAL DE DÉPART,2473.2999999999997,RESULTAT,2.42,
,,,,,,,,
Trade,Paire,Stratégie Utilisée,Gain / Perte,$ Profit / Perte,% Profit/Perte,CAPITAL ACTUEL,Commentaires,TradingView/Image
,ETHUSD,INBALANCE,Gain,2.42,0.00121,2002.42,Ticket: 10515123,
,ETHUSD,INBALANCE,Gain,2.57,0.0012834470290947952,2004.99,Ticket: 10515256,
,ETHUSD,INBALANCE,Gain,2.4,0.0011970134514386606,2007.39,Ticket: 10515465,
,ETHUSD,LIQUIDITY_GRAB,Perte,-0.42,-0.00020922690658018619,2006.97,Ticket: 10516339,
,ETHUSD,LIQUIDITY_GRAB,Gain,20.68,0.010304090245494451,2027.65,Ticket: 10517315,
,ETHUSD,LIQUIDITY_GRAB,Perte,-21.75,-0.010726703326510986,2005.9,Ticket: 10532112,
,BTCUSD,LIQUIDITY_GRAB,Perte,-24.37,-0.012149159978064709,1981.5300000000002,Ticket: 10532111,
,ETHUSD,LIQUIDITY_GRAB,Gain,11.32,0.005712757313792878,1992.85,Ticket: 10532738,
,ETHUSD,INBALANCE,Gain,0.05,2.508969566199162e-05,1992.8999999999999,Ticket: 10533182,
,ETHUSD,INBALANCE,Perte,-23.38,-0.011731647348085704,1969.52,Ticket: 10535039,
,ETHUSD,LIQUIDITY_GRAB,Gain,10.47,0.005316016085137496,1979.99,Ticket: 10548689,
,ETHUSD,LIQUIDITY_GRAB,Gain,55.83,0.0281971121066268,2035.82,Ticket: 10556831,
,ETHUSD,CHANGE_OF_CHARACTER,Gain,3.7,0.001817449479816487,2039.52,Ticket: 10565473,
,ETHUSD,CHANGE_OF_CHARACTER,Perte,-0.15,-7.354671687455871e-05,2039.37,Ticket: 10570925,
